"Week","FileName","Created","DownloadUrl"
"Week 01","Meeting in Week 01-20260121_123909-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 01/Recordings/Meeting in Week 01-20260121_123909-Meeting Recording.mp4"
"Week 02","Meeting in Week 02-20260126_123543-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 02/Recordings/Meeting in Week 02-20260126_123543-Meeting Recording.mp4"
"Week 02","Meeting in Week 02-20260128_123639-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 02/Recordings/Meeting in Week 02-20260128_123639-Meeting Recording.mp4"
"Week 03","Meeting in Week 03-20260202_123558-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 03/Recordings/Meeting in Week 03-20260202_123558-Meeting Recording.mp4"
"Week 03","Meeting in Week 03-20260204_123535-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 03/Recordings/Meeting in Week 03-20260204_123535-Meeting Recording.mp4"
"Week 04","Meeting in Week 04-20260209_123521-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 04/Recordings/Meeting in Week 04-20260209_123521-Meeting Recording.mp4"
"Week 04","Meeting in Week 04-20260211_123516-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 04/Recordings/Meeting in Week 04-20260211_123516-Meeting Recording.mp4"
"Week 05","Meeting in Week 05-20260218_123515-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 05/Recordings/Meeting in Week 05-20260218_123515-Meeting Recording.mp4"
"Week 05","Meeting in Week 05-20260216_123541-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 05/Recordings/Meeting in Week 05-20260216_123541-Meeting Recording.mp4"
"Week 06","Meeting in Week 06-20260223_123518-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 06/Recordings/Meeting in Week 06-20260223_123518-Meeting Recording.mp4"
"Week 06","Meeting in Week 06-20260225_123655-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 06/Recordings/Meeting in Week 06-20260225_123655-Meeting Recording.mp4"
"Week 07","Meeting in Week 07-20260302_123546-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 07/Recordings/Meeting in Week 07-20260302_123546-Meeting Recording.mp4"
"Week 07","Meeting in Week 07-20260304_123526-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 07/Recordings/Meeting in Week 07-20260304_123526-Meeting Recording.mp4"
"Week 08","Meeting in Week 08-20260309_123524-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 08/Recordings/Meeting in Week 08-20260309_123524-Meeting Recording.mp4"
"Week 08","Meeting in Week 08-20260311_123655-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringAdvFE/Shared Documents/Week 08/Recordings/Meeting in Week 08-20260311_123655-Meeting Recording.mp4"
