"Week","FileName","Created","DownloadUrl"
"Week 01","Meeting in Week 01-20260121_103625-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 01/Recordings/Meeting in Week 01-20260121_103625-Meeting Recording.mp4"
"Week 02","Meeting in Week 02-20260128_103132-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 02/Recordings/Meeting in Week 02-20260128_103132-Meeting Recording.mp4"
"Week 02","Meeting in Week 02-20260126_103952-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 02/Recordings/Meeting in Week 02-20260126_103952-Meeting Recording.mp4"
"Week 03","Meeting in Week 03-20260204_103158-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 03/Recordings/Meeting in Week 03-20260204_103158-Meeting Recording.mp4"
"Week 03","Meeting in Week 03-20260202_103229-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 03/Recordings/Meeting in Week 03-20260202_103229-Meeting Recording.mp4"
"Week 04","Meeting in Week 04-20260211_103614-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 04/Recordings/Meeting in Week 04-20260211_103614-Meeting Recording.mp4"
"Week 04","Meeting in Week 04-20260209_103144-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 04/Recordings/Meeting in Week 04-20260209_103144-Meeting Recording.mp4"
"Week 05","Meeting in Week 05-20260216_103311-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 05/Recordings/Meeting in Week 05-20260216_103311-Meeting Recording.mp4"
"Week 06","Meeting in Week 06-20260223_103203-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 06/Recordings/Meeting in Week 06-20260223_103203-Meeting Recording.mp4"
"Week 06","Meeting in Week 06-20260225_103605-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 06/Recordings/Meeting in Week 06-20260225_103605-Meeting Recording.mp4"
"Week 07","Meeting in Week 07-20260302_103200-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 07/Recordings/Meeting in Week 07-20260302_103200-Meeting Recording.mp4"
"Week 07","Meeting in Week 07-20260304_103210-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 07/Recordings/Meeting in Week 07-20260304_103210-Meeting Recording.mp4"
"Week 08","Meeting in Week 08-20260311_103210-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 08/Recordings/Meeting in Week 08-20260311_103210-Meeting Recording.mp4"
"Week 08","Meeting in Week 08-20260309_103230-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 08/Recordings/Meeting in Week 08-20260309_103230-Meeting Recording.mp4"
"Week 09","Meeting in Week 09-20260323_103204-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 09/Recordings/Meeting in Week 09-20260323_103204-Meeting Recording.mp4"
"Week 09","Meeting in Week 09-20260325_103512-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 09/Recordings/Meeting in Week 09-20260325_103512-Meeting Recording.mp4"
"Week 10","Meeting in Week 10-20260330_103514-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 10/Recordings/Meeting in Week 10-20260330_103514-Meeting Recording.mp4"
"Week 11","Meeting in Week 11-20260406_103302-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 11/Recordings/Meeting in Week 11-20260406_103302-Meeting Recording.mp4"
"Week 11","Meeting in Week 11-20260408_103603-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 11/Recordings/Meeting in Week 11-20260408_103603-Meeting Recording.mp4"
"Week 12","Meeting in Week 12-20260413_103319-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 12/Recordings/Meeting in Week 12-20260413_103319-Meeting Recording.mp4"
"Week 12","Meeting in Week 12-20260415_103338-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 12/Recordings/Meeting in Week 12-20260415_103338-Meeting Recording.mp4"
"Week 13","Meeting in Week 13-20260422_103421-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 13/Recordings/Meeting in Week 13-20260422_103421-Meeting Recording.mp4"
"Week 14","Meeting in Week 14-20260427_103609-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 14/Recordings/Meeting in Week 14-20260427_103609-Meeting Recording.mp4"
"Week 15","Meeting in Week 15-20260504_103806-Meeting Recording.mp4","System.Xml.XmlElement","https://madisoncollege365.sharepoint.com/teams/2026SpringDataViz/Shared Documents/Week 15/Recordings/Meeting in Week 15-20260504_103806-Meeting Recording.mp4"
